title,user_name,rating,review_date,review_text,reply_text
Bukalapak-JualBeliOnline,ade saprudin,Rated 1 stars out of five stars,"March 5, 2019","Bayar pake kartu kredit visa cimb niaga gagal terus, vua website juga sama","PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Peach Crush,Rated 5 stars out of five stars,"March 5, 2019",good!,
Bukalapak-JualBeliOnline,sean3564,Rated 1 stars out of five stars,"March 5, 2019","Ketika saya membayar transaksi pembelian dengan KK, dana langsung masuk ke rekening Bukalapak, akan tetapi ketika penjual membatalkan pesanan saya, dana dikembalikan menunggu 14 hari kerja.","PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,ibnue awal,Rated 5 stars out of five stars,"March 5, 2019",recommended this application,
Bukalapak-JualBeliOnline,Dyon Soji,Rated 5 stars out of five stars,"March 5, 2019",rekomended seki untk onshop,
Bukalapak-JualBeliOnline,HouVeey Andrea,Rated 5 stars out of five stars,"March 5, 2019","kerennn, sangat membantu, terbaikkkklahhh",
Bukalapak-JualBeliOnline,Rizky Wahyudi,Rated 5 stars out of five stars,"March 5, 2019",good,
Bukalapak-JualBeliOnline,HiTec,Rated 1 stars out of five stars,"March 5, 2019","lambat untuk pengiriman pulsa pra bayarnya, padahal lagi situasi darurat","PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Ridwan Maulana,Rated 5 stars out of five stars,"March 5, 2019",keren,
Bukalapak-JualBeliOnline,Nicko FJL,Rated 5 stars out of five stars,"March 5, 2019",good job...........👍👍👍👍👍👍,
Bukalapak-JualBeliOnline,enak e opo,Rated 1 stars out of five stars,"March 5, 2019",wajib uninstall lah.. 2x kena ribet belanja disini.. biasa lancar aja jadi ada verifikasi pembayaran.. udah tlp cs dan kirim history cimbclick tetap aja transaksi kadarluasa dan disuruh tunggu 1x24jam.. org mau belanja jadi ribet.. dah uninstall aja deh..,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
